# kepid innerPlanetIdx outerPlanetIdx amin amax Pmin Pmax mmax Rpmax Rpmax_uerr Rpmax_lerr
3835670 0 1 0.006566 0.118600 683084.134018 14.557309 144482.931259 49.471011 5.623903 4.792032
3839488 0 1 0.006673 0.103600 655385.295762 11.131272 156024.573159 53.277327 4.706267 5.146237
3847138 0 1 0.004432 0.097300 410084.529632 11.722912 130758.337702 46.281664 6.669599 5.282833
3847907 0 1 0.005023 0.045700 468714.898731 3.573203 98743.745431 34.912406 3.945346 2.749122
3848275 0 1 0.005692 0.064000 496335.865431 5.194927 145588.835347 49.581564 6.376047 4.004044
3848966 0 1 0.013561 0.214400 1706475.222445 29.768183 194461.821005 66.155264 4.393495 6.661733
3849187 0 1 0.003999 0.068400 336281.665253 6.601800 132212.488212 45.708745 4.793226 3.512015
3852655 0 1 0.005260 0.098700 515680.604763 11.629042 131934.616761 45.513216 5.434609 3.914686
3859079 0 1 0.003293 0.254800 279167.231146 53.529270 140735.672599 48.359892 4.216440 4.059840
3859628 0 1 0.004209 0.077900 369504.572307 8.172426 131064.168270 44.841169 6.958316 3.929663
